// ============================================================================
// SilentDevs NPC Shop Configuration
// Format: Group Index Level Dur Skill Luck Option ExcOpt Anc JoH OpEx Socket1 Socket2 Socket3 Socket4 Socket5
// ============================================================================
14	9	0	1	0	0	0	0	0	0	0	255	255	255	255	255
14	10	0	1	0	0	0	0	0	0	0	255	255	255	255	255
13	16	1	1	0	0	0	0	0	0	0	255	255	255	255	255
13	16	2	1	0	0	0	0	0	0	0	255	255	255	255	255
13	17	1	1	0	0	0	0	0	0	0	255	255	255	255	255
13	17	2	1	0	0	0	0	0	0	0	255	255	255	255	255
14	17	1	0	0	0	0	0	0	0	0	255	255	255	255	255
14	17	2	0	0	0	0	0	0	0	0	255	255	255	255	255
14	18	1	0	0	0	0	0	0	0	0	255	255	255	255	255
14	18	2	0	0	0	0	0	0	0	0	255	255	255	255	255
13	29	0	1	0	0	0	0	0	0	0	255	255	255	255	255
end
