/////////////////////////////////////////////////////////////////////////////
//Shop tạo bởi GoldMU.Net [Shop Editor]
//SDT: 0987 819 266
///////////////////////////
//Shop: 001 - Liaman the Barmaid
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur		Skill	Luck	Option	ExcOpt	Anc		JoH		Oex		Socket1	Socket2	Socket3	Socket4	Socket5	ItemName
/////////////////////////////////////////////////////////////////////////////
//
14		3		1		255		0		0		0		0		0		0		0		255		255		255		255		255		//Bình Máu To
14		6		1		255		0		0		0		0		0		0		0		255		255		255		255		255		//Bình Phép To
14		8		0		255		0		0		0		0		0		0		0		255		255		255		255		255		//Liều Giải Độc
13		0		0		0		0		0		0		0		0		0		0		255		255		255		255		255		//Thần Hộ Mệnh
13		1		0		0		0		0		0		0		0		0		0		255		255		255		255		255		//Tiểu Quỷ
13		2		0		0		0		0		0		0		0		0		0		255		255		255		255		255		//Kỳ Lân
14		111		0		0		0		0		0		0		0		0		0		255		255		255		255		255		//Vé Tham Gia Dopple
14		102		0		0		0		0		0		0		0		0		0		255		255		255		255		255		//Mệnh Lệnh Của Gaion
14		10		0		0		0		0		0		0		0		0		0		255		255		255		255		255		//Bùa Về Thành

end
