//|================================================================|
//| GoldMU.net Chỉnh sửa Cash Shop                                 |
//| Credit: GoldMU/MU Online                          [GoldMU.net] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	3000	7221	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Bùa Tăng Tỉ Lệ (1%)
1010	1010	15000	7264	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Bùa kết hợp Chaos
1020	1020	5000	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Đại Quỷ (1 Days)
1020	1021	15000	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Đại Quỷ (3 Days)
1030	1030	10000	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa thiên sứ (1 Ngày)
1030	1031	60000	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa thiên sứ (7 Days)
1030	1032	250000	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa thiên sứ (30 Days)
1040	1040	2000	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Devil Square Ticket (1 Lan)
1040	1041	18000	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Devil Square Ticket (10 Lan)
1050	1050	2000	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Blood Castle Ticket (1 Lan)
1050	1051	18000	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Blood Castle Ticket (10 Lan)
1060	1060	5000	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa kinh nghiệm (1 Days)
1060	1061	30000	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa kinh nghiệm (7 Days)
1060	1062	100000	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa kinh nghiệm (30 Days)
