//-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//Index						- Numerical order
//ItemIndex					- Index của wing (512*Type + Index)
//-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName
//Wing 2.5
1		6294	4		139		2		61		2		80		4		85		1		83		4		106		3		108		3		107		3		111		3		0			"Wing200"
2		6295	4		139		2		61		2		80		4		85		1		83		4		106		3		108		3		107		3		111		3		0			"Wing201"
3		6296	4		139		2		61		2		80		4		85		1		83		4		106		3		108		3		107		3		111		3		0			"Wing202"
//Wing EX802
4		6297	4		139		2		61		2		80		4		85		1		83		4		106		10		108		10		107		10		111		10		0			"Wing204"
5		6298	4		139		2		61		2		80		4		85		1		83		4		106		10		108		10		107		10		111		10		0			"Wing205"
//2.5 DL, RF
6		6299	4		139		2		61		2		80		4		85		1		83		4		106		3		108		3		107		3		111		3		1			"cape_of_death"
//Wing 4
7		6300	4		139		2		61		2		80		4		85		1		83		4		106		7		108		7		107		7		111		7		0			"Wing401"
8		6301	4		139		2		61		2		80		4		85		1		83		4		106		7		108		7		107		7		111		7		0			"Wing402"
9		6302	4		139		2		61		2		80		4		85		1		83		4		106		7		108		7		107		7		111		7		0			"Wing403"
10		6303	4		139		2		61		2		80		4		85		1		83		4		106		7		108		7		107		7		111		7		0			"Wing404"
11		6304	4		139		2		61		2		80		4		85		1		83		4		106		7		108		7		107		7		111		7		1			"Wing405"
12		6305	4		139		2		61		2		80		4		85		1		83		4		106		7		108		7		107		7		111		7		0			"Wing406"
13		6306	4		139		2		61		2		80		4		85		1		83		4		106		7		108		7		107		7		111		7		1			"Wing407"
//Wing 5
14		6307	4		139		2		61		2		80		4		85		1		83		4		106		9		108		9		107		9		111		9		0			"Wing54"
15		6308	4		139		2		61		2		80		4		85		1		83		4		106		9		108		9		107		9		111		9		0			"Wing55"
16		6309	4		139		2		61		2		80		4		85		1		83		4		106		9		108		9		107		9		111		9		0			"Wing53"
17		6310	4		139		2		61		2		80		4		85		1		83		4		106		9		108		9		107		9		111		9		0			"Wing52"

end
