//====================================================================
//-- Color Type:
//====================================================================
//-- TEXT_BLUE		=	1
//-- TEXT_RED		=	2
//-- TEXT_GOLD		=	3
//-- TEXT_GREN		=	4
//-- TEXT_WHITE_RED	=	5
//-- TEXT_PINK		=	6
//-- TEXT_WHITE_BLUE	=	7
//-- TEXT_WHITE_YELLOW	=	8
//-- TEXT_GREN_BLUE	=	9
//-- TEXT_GRAY		=	10
//-- TEXT_PINK2		=	11
//-- TEXT_PURPLE	=	12
//-- TEXT_ORANGE	=	13
//-- TEXT_WHITE		=	14
//-- DeepPink1		=	15 (255 20 147)
//-- RoyalBlue1		=	16 (72 118 255)
//-- SlateBlue1		=	17 (131 111 255)
//-- Azure2		=	18 (224 238 238)
//-- DarkSlateGray1	=	19 (151 255 255)
//-- SlateGray1		=	20 (198 226 255)
//-- MistyRose1		=	21 (255 228 225)
//-- LightSlateBlue	=	22 (132 112 255)
//-- DeepSkyBlue1	=	23 (0 191 255)
//-- Turquoise1		=	24 (0 245 255)
//====================================================================
//IndexMin	IndexMax		Exc		Name							ColorName	Index1	Color1	Level1	Index2	Color2	Leve2	Index3	Color3	Leve3	Index4	Color4	Level4	Index5	Color5	Level5	Index6	Color6	Level6	Index7	Color7	Level7	Index8	Color8	Level8	Index9	Color9	Level9	Index10	Color10	Level10	Index11	Color11	Level11	Index12	Color12	Level12	Index13	Color13	Level13	Index14	Color14	Level14	Index15	Color15	Level15
//Wing 1 
   6144        6144         -1	"Wing 1 ELF Options"		        13			1		3		11		2		3		12		3		3		13		 4		 3		 14		 5		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6145        6145         -1	"Wing 1 DW Options"		            13			1		3		11		2		3		12		3		3		13		 4		 3		 14		 5		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6146        6146         -1	"Wing 1 MG-DK Options"		        13			1		3		11		2		3		12		3		3		13		 4		 3		 14		 5		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6185        6185         -1	"Wing 1 SM Options"		            13			1		3		11		2		3		12		3		3		13		 4		 3		 14		 5		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
//Wing 2
   6147        6147         -1	"Wing 2 ELF Options"		        13			6		3		11		7		3		12		8		3		13		 9		 3		 14		 10		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6148        6148         -1	"Wing 2 DW Options"		            13			6		3		11		7		3		12		8		3		13		 9		 3		 14		 10		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6149        6149         -1	"Wing 2 DK Options"		            13			6		3		11		7		3		12		8		3		13		 9		 3		 14		 10		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6150        6150         -1	"Wing 2 MG Options"		            13			6		3		11		7		3		12		8		3		13		 9		 3		 14		 10		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6186        6186         -1	"Wing 2 SM Options"		            13			6		3		11		7		3		12		8		3		13		 9		 3		 14		 10		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6193        6193         -1	"Wing 2 RF Options"		            13			6		3		11		7		3		12		8		3		13		 9		 3		 14		 10		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6686        6686         -1	"Wing 2 DL Options"		            13			6		3		11		7		3		12		8		3		13		 9		 3		 14		 10		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
//Wing 3
   6180        6180         -1	"Wing 3 DK Options"		            13			11		3		11		12		3		12		13		3		13		 14		 3		 14		 15		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6181        6181         -1	"Wing 3 DW Options"		            13			11		3		11		12		3		12		13		3		13		 14		 3		 14		 15		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6182        6182         -1	"Wing 3 ELF Options"		        13			11		3		11		12		3		12		13		3		13		 14		 3		 14		 15		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6183        6183         -1	"Wing 3 MG Options"		            13			11		3		11		12		3		12		13		3		13		 14		 3		 14		 15		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6187        6187         -1	"Wing 3 SM Options"		            13			11		3		11		12		3		12		13		3		13		 14		 3		 14		 15		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6184        6184         -1	"Wing 3 DL Options"		            13			11		3		11		12		3		12		13		3		13		 14		 3		 14		 15		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6194        6194         -1	"Wing 3 RF Options"		            13			11		3		11		12		3		12		13		3		13		 14		 3		 14		 15		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
//Wing 4
   6300        6300         -1	"Wing 4 DW Options"		            13			16		3		11		17		3		12		18		3		13		 19		 3		 14		 20		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6301        6301         -1	"Wing 4 DK Options"		            13			16		3		11		17		3		12		18		3		13		 19		 3		 14		 20		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6302        6302         -1	"Wing 4 ELF Options"	            13			16		3		11		17		3		12		18		3		13		 19		 3		 14		 20		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6303        6303         -1	"Wing 4 MG Options"		            13			16		3		11		17		3		12		18		3		13		 19		 3		 14		 20		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6304        6304         -1	"Wing 4 DL Options"		            13			16		3		11		17		3		12		18		3		13		 19		 3		 14		 20		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6305        6305         -1	"Wing 4 SM Options"		            13			16		3		11		17		3		12		18		3		13		 19		 3		 14		 20		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
   6306        6306         -1	"Wing 4 RF Options"		            13			16		3		11		17		3		12		18		3		13		 19		 3		 14		 20		 3		15		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1							 
























end

